"ISO3","countryname","year","rGDP","unemp","CPI"
"PAK","Pakistan",1978,4964777,4.1799998,8.0850859
"PAK","Pakistan",1979,5151375,4.1199999,8.7534838
"PAK","Pakistan",1980,5677624,4.0100002,9.7984943
"PAK","Pakistan",1981,6030089,3.8199999,10.968936
"PAK","Pakistan",1982,6486085,3.8199999,11.612679
"PAK","Pakistan",1983,6926363,3.8499999,12.360812
"PAK","Pakistan",1984,7201552,3.75,13.108947
"PAK","Pakistan",1985,7828671,3.6500001,13.838099
"PAK","Pakistan",1986,8326809,3.3,14.318931
"PAK","Pakistan",1987,8810664,3.0710001,14.989561
"PAK","Pakistan",1988,9377733,3.142,16.315006
"PAK","Pakistan",1989,9828643,3.141,17.600912
"PAK","Pakistan",1990,10279651,3.1300001,19.193661
"PAK","Pakistan",1991,10806671,5.8499999,21.616791
"PAK","Pakistan",1992,11624621,5.8499999,22.665443
"PAK","Pakistan",1993,11868447,4.73,24.892447
"PAK","Pakistan",1994,12386926,4.8400002,27.698341
"PAK","Pakistan",1995,13013947,5.3699999,31.306149
"PAK","Pakistan",1996,13872751,5.3699999,34.679871
"PAK","Pakistan",1997,14108960,6.1199999,38.777996
"PAK","Pakistan",1998,14601916,5.8899999,41.805328
"PAK","Pakistan",1999,15212587,5.8899999,44.201569
"PAK","Pakistan",2000,15807077,7.8200002,45.791157
"PAK","Pakistan",2001,16382114,7.8200002,47.804634
"PAK","Pakistan",2002,16811856,8.2700005,49.497028
"PAK","Pakistan",2003,17680556,8.2700005,51.032837
"PAK","Pakistan",2004,19040336,7.6900001,53.364227
"PAK","Pakistan",2005,20563084,7.6900001,58.313301
"PAK","Pakistan",2006,21727752,6.1999998,62.931797
"PAK","Pakistan",2007,22838184,5.1999998,67.825508
"PAK","Pakistan",2008,23853320,5.1999998,75.961662
"PAK","Pakistan",2009,24106914,5.46,90.819939
"PAK","Pakistan",2010,24652816,5.5500002,100
"PAK","Pakistan",2011,25442796,5.9499998,113.65779
"PAK","Pakistan",2012,26256028,5.9499998,126.1657
"PAK","Pakistan",2013,27268548,5.9749999,135.45174
"PAK","Pakistan",2014,28238304,6,147.12926
"PAK","Pakistan",2015,29314628,5.9000001,153.78813
"PAK","Pakistan",2016,30508204,5.8800001,158.19308
"PAK","Pakistan",2017,31914208,5.8319998,165.74719
"PAK","Pakistan",2018,33859620,5.8000002,173.53696
"PAK","Pakistan",2019,34916040,6.9000001,185.34102
"PAK","Pakistan",2020,34586664,6.5619998,205.24486
"PAK","Pakistan",2021,36582480,6.3000002,223.50374
"PAK","Pakistan",2022,38843260,6.1999998,250.66589
"PAK","Pakistan",2023,38763320,8.5,323.81375
"PAK","Pakistan",2024,39684696,8,399.62042
"PAK","Pakistan",2025,40954604,7.5,437.5206
"PAK","Pakistan",2026,42592808,6.5,471.80661
"PAK","Pakistan",2027,44339092,5.5,502.46426
"PAK","Pakistan",2028,46334352,5,535.11328
"PAK","Pakistan",2029,48419396,6,569.8833
"PAK","Pakistan",2030,NA,NA,NA
