Date,Price,Open,High,Low,Vol.,Change %
08/12/2024,"77,980.29","78,867.30","78,886.46","77,940.52",141771364,-0.75%
08/09/2024,"78,569.58","78,322.33","78,823.13","78,051.08",138958150,0.89%
08/08/2024,"77,874.22","77,218.12","77,969.26","77,085.47",192848184,0.99%
08/07/2024,"77,114.49","77,344.86","77,800.04","77,086.81",128803602,-0.10%
08/06/2024,"77,191.34","77,417.21","77,746.55","77,035.95",149774582,0.14%
08/05/2024,"77,084.48","78,303.67","78,330.09","76,943.24",169486960,-1.46%
08/02/2024,"78,225.98","77,946.16","78,434.16","77,926.53",203289387,0.62%
08/01/2024,"77,740.30","78,101.16","78,241.02","77,595.92",97011676,-0.19%
07/31/2024,"77,886.98","78,725.96","79,151.81","77,810.16",112542528,-0.94%
07/30/2024,"78,628.80","79,319.20","79,327.04","78,518.23",143371373,-0.25%
07/29/2024,"78,827.74","78,023.89","79,055.99","78,016.29",135177284,1.02%
07/26/2024,"78,029.50","78,440.36","78,569.88","77,921.47",116859785,-0.56%
07/25/2024,"78,469.33","79,568.48","79,776.95","78,330.58",129010674,-1.17%
07/24/2024,"79,397.00","79,194.74","79,704.36","79,071.48",102935402,0.52%
07/23/2024,"78,987.09","78,700.25","79,585.34","78,634.15",137602553,0.57%
07/22/2024,"78,539.18","79,920.23","80,085.63","78,404.76",201001223,-1.97%
07/19/2024,"80,117.89","81,921.71","81,939.83","79,812.69",246330407,-2.10%
07/18/2024,"81,839.86","81,418.12","81,909.94","81,418.11",238793531,0.84%
07/15/2024,"81,155.60","80,743.46","81,428.43","80,743.46",219582625,1.52%
07/12/2024,"79,944.09","80,094.69","80,321.68","78,611.68",217955240,-0.06%
07/11/2024,"79,992.35","79,884.02","80,114.72","79,708.87",154186340,0.19%
07/10/2024,"79,841.55","80,885.06","80,971.95","79,841.32",230879301,-1.03%
07/09/2024,"80,672.06","80,752.94","81,087.42","80,530.85",309330333,0.13%
07/08/2024,"80,566.20","80,332.79","80,737.70","80,192.31",138374084,0.44%
07/05/2024,"80,212.79","80,427.84","80,627.49","80,080.25",210920436,-0.09%
07/04/2024,"80,282.80","80,438.84","80,888.86","80,134.89",229012241,0.06%
07/03/2024,"80,233.67","79,697.25","80,405.23","79,697.25",280091033,0.86%
07/02/2024,"79,552.88","78,978.55","79,740.35","78,978.54",192738740,0.92%
07/01/2024,"78,824.33","78,531.93","79,536.22","78,427.79",163286438,0.48%
06/28/2024,"78,444.96","78,698.47","78,784.23","78,312.36",205930861,-0.11%
06/27/2024,"78,528.25","78,470.34","78,978.60","78,294.22",137790290,0.32%
06/26/2024,"78,275.64","77,968.91","78,679.49","77,968.90",219556647,0.43%
06/25/2024,"77,940.58","78,297.40","78,541.21","77,908.98",130431326,-0.37%
06/24/2024,"78,232.09","79,247.15","79,388.11","78,167.43",148576888,-0.73%
06/21/2024,"78,810.49","79,156.52","80,059.87","78,169.02",207358795,0.01%
06/20/2024,"78,801.53","76,896.82","78,890.37","76,896.81",211587860,2.73%
06/14/2024,"76,706.77","76,555.91","77,310.45","76,103.56",212258377,0.65%
06/13/2024,"76,208.16","73,329.80","76,338.14","73,329.79",344982490,4.69%
06/12/2024,"72,797.43","72,545.24","73,169.00","72,464.24",106573282,0.29%
06/11/2024,"72,589.49","73,779.99","73,866.44","72,476.05",142282731,-0.91%
06/10/2024,"73,252.56","73,841.92","73,915.45","72,981.34",89516331,-0.68%
