"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2021","17,837.24","17,642.17","17,850.26","17,611.10","","1.11%"
"09/27/2021","17,642.17","17,742.36","17,830.47","17,436.72","","-0.56%"
"09/24/2021","17,742.36","17,810.54","17,890.48","17,648.31","","-0.38%"
"09/23/2021","17,810.54","17,957.53","18,105.79","17,728.36","","-1.21%"
"09/22/2021","18,028.99","18,178.91","18,185.92","17,678.60","","-0.82%"
"09/21/2021","18,178.91","18,421.96","18,541.33","18,051.57","","-1.32%"
"09/20/2021","18,421.96","18,453.59","18,471.34","18,266.86","","-0.32%"
"09/17/2021","18,480.32","18,635.58","18,724.55","18,448.01","","-0.95%"
"09/16/2021","18,658.17","18,559.73","18,682.66","18,501.39","","0.53%"
"09/15/2021","18,559.73","18,602.86","18,630.14","18,450.18","","-0.23%"
"09/14/2021","18,602.86","18,740.83","18,801.02","18,470.80","","-1.03%"
"09/13/2021","18,796.97","18,784.61","18,875.46","18,759.32","","0.07%"
"09/10/2021","18,784.61","18,573.03","18,850.26","18,573.03","","0.95%"
"09/09/2021","18,607.68","18,503.61","18,627.09","18,490.17","","0.26%"
"09/08/2021","18,559.63","18,747.04","18,808.45","18,536.68","","-1.00%"
"09/07/2021","18,747.04","18,847.98","18,894.61","18,709.93","","-0.54%"
"09/06/2021","18,847.98","18,851.16","18,933.66","18,834.08","","-0.02%"
"09/03/2021","18,851.16","18,806.07","18,916.18","18,801.18","","0.24%"
"09/02/2021","18,806.07","19,029.27","19,059.93","18,788.27","","-1.17%"
"09/01/2021","19,029.27","19,027.87","19,128.78","19,011.87","","0.01%"
"08/31/2021","19,027.87","18,995.31","19,125.19","18,974.66","","0.17%"
"08/30/2021","18,995.31","18,913.79","19,054.48","18,913.79","","0.43%"
"08/27/2021","18,913.79","18,953.90","18,981.52","18,781.14","","-0.21%"
"08/26/2021","18,953.90","19,061.89","19,114.78","18,907.45","","-0.71%"
"08/25/2021","19,090.13","19,166.02","19,214.80","19,071.99","","-0.40%"
"08/24/2021","19,166.02","19,337.45","19,340.06","19,137.35","","-0.89%"
"08/23/2021","19,337.45","19,103.04","19,357.34","19,103.04","","1.23%"
"08/20/2021","19,103.04","18,932.28","19,122.63","18,932.28","","0.90%"
"08/17/2021","18,932.28","18,782.17","18,943.66","18,782.17","","0.80%"
"08/16/2021","18,782.17","18,855.25","18,864.77","18,666.45","","-0.39%"
"08/13/2021","18,855.25","18,929.57","18,955.81","18,844.85","","-0.39%"
"08/12/2021","18,929.57","18,926.22","19,013.79","18,881.80","","0.02%"
"08/11/2021","18,926.22","18,811.93","19,031.05","18,811.93","","0.61%"
"08/10/2021","18,811.93","18,814.04","18,876.11","18,725.99","","-0.01%"
"08/09/2021","18,814.04","18,965.35","19,041.79","18,785.76","","-0.80%"
"08/06/2021","18,965.35","19,042.94","19,096.93","18,923.42","","-0.41%"
"08/05/2021","19,042.94","19,095.89","19,141.83","19,022.23","","-0.28%"
"08/04/2021","19,095.89","19,110.07","19,200.76","19,075.76","","-0.07%"
"08/03/2021","19,110.07","18,985.23","19,132.70","18,985.23","","0.66%"
"08/02/2021","18,985.23","18,837.05","19,004.63","18,808.17","","0.79%"
"07/30/2021","18,837.05","18,963.44","19,106.66","18,771.88","","-0.67%"
"07/29/2021","18,963.44","18,974.30","18,993.86","18,811.34","","-0.06%"
"07/28/2021","18,974.30","19,129.61","19,216.40","18,939.18","","-0.81%"
"07/27/2021","19,129.61","19,106.87","19,197.89","19,083.25","","0.12%"
"07/26/2021","19,106.87","19,161.24","19,228.45","19,070.58","","-0.28%"
"07/23/2021","19,161.24","19,193.18","19,235.55","19,127.94","","-0.17%"
"07/19/2021","19,193.18","19,210.35","19,301.55","19,157.80","","-0.09%"
"07/16/2021","19,210.35","19,118.99","19,245.07","19,118.99","","0.48%"
"07/15/2021","19,118.99","19,045.66","19,177.36","19,002.81","","0.39%"
"07/14/2021","19,045.66","19,077.66","19,138.32","19,042.70","","-0.17%"
"07/13/2021","19,077.66","19,061.74","19,112.01","19,049.28","","0.08%"
"07/12/2021","19,061.74","19,110.87","19,188.02","19,042.46","","-0.26%"
"07/09/2021","19,110.87","19,333.15","19,333.15","19,091.55","","-1.32%"
"07/08/2021","19,365.90","18,973.05","19,374.51","18,973.05","","2.07%"
"07/07/2021","18,973.05","19,004.84","19,025.02","18,898.00","","-0.17%"
"07/06/2021","19,004.84","19,016.89","19,137.43","18,964.17","","-0.06%"
"07/05/2021","19,016.89","19,100.47","19,122.71","18,994.35","","-0.44%"
"07/02/2021","19,100.47","19,133.79","19,257.43","19,086.15","","-0.17%"
"07/01/2021","19,133.79","18,961.90","19,187.12","18,961.90","","0.91%"
"06/30/2021","18,961.90","18,910.11","19,000.39","18,888.64","","0.27%"
"06/29/2021","18,910.11","18,873.04","19,122.11","18,873.04","","0.20%"
"06/28/2021","18,873.04","19,113.68","19,169.54","18,845.00","","-1.44%"
"06/25/2021","19,149.60","19,298.60","19,326.98","19,054.40","","-0.77%"
"06/24/2021","19,298.60","19,259.38","19,371.74","19,259.38","","0.20%"
"06/23/2021","19,259.38","19,325.06","19,384.17","19,256.09","","-0.34%"
"06/22/2021","19,325.06","19,339.65","19,429.08","19,312.78","","-0.08%"
"06/21/2021","19,339.65","19,425.65","19,471.49","19,315.28","","-0.44%"
"06/18/2021","19,425.65","19,421.09","19,520.22","19,359.55","","0.15%"
"06/17/2021","19,396.65","19,547.77","19,575.61","19,390.61","","-0.77%"
"06/16/2021","19,547.77","19,603.24","19,727.19","19,524.78","","-0.39%"
"06/15/2021","19,625.02","19,647.43","19,726.75","19,569.59","","-0.11%"
"06/14/2021","19,647.43","19,478.73","19,737.41","19,478.73","","0.87%"
"06/11/2021","19,478.73","19,482.97","19,588.94","19,447.55","","-0.30%"
"06/10/2021","19,537.60","19,317.32","19,563.13","19,317.32","","0.80%"
"06/09/2021","19,381.81","19,558.23","19,639.95","19,362.91","","-0.99%"
"06/08/2021","19,574.92","19,623.58","19,663.27","19,517.19","","-0.42%"
