date,open,hig,low ,close,volume ,change
12-Jun-23,"14,789.12","14,836.14","14,689.77","14,747.15","59,522,816",-56.68
09-Jun-23,"14,742.78","14,839.18","14,721.08","14,803.83","65,909,856",61.47
08-Jun-23,"14,951.14","14,978.33","14,723.05","14,742.36","83,771,256",-200.89
07-Jun-23,"14,890.52","14,982.68","14,868.30","14,943.25","84,119,312",70.55
06-Jun-23,"14,831.29","14,929.94","14,825.43","14,872.70","86,196,416",74.26
05-Jun-23,"14,677.45","14,815.98","14,672.51","14,798.44","55,361,144",134.31
02-Jun-23,"14,656.89","14,711.22","14,625.15","14,664.13","25,539,016",5.91
01-Jun-23,"14,703.72","14,742.88","14,642.97","14,658.22","25,560,460",-21.85
31-May-23,"14,832.28","14,894.01","14,658.06","14,680.07","46,128,168",-137.97
30-May-23,"14,682.04","14,826.07","14,672.27","14,818.04","50,876,904",154.58
29-May-23,"14,549.52","14,787.43","14,545.94","14,663.46","45,241,864",131.53
26-May-23,"14,585.58","14,624.14","14,454.64","14,531.93","54,515,856",-43.75
25-May-23,"14,605.36","14,628.10","14,531.96","14,575.68","34,480,856",-19.67
24-May-23,"14,622.29","14,697.52","14,583.35","14,595.35","21,046,602",-11.72
23-May-23,"14,659.70","14,695.21","14,604.73","14,607.07","23,405,532",-48.49
22-May-23,"14,781.95","14,808.35","14,631.53","14,655.56","23,669,740",-132.79
19-May-23,"14,762.08","14,810.34","14,712.49","14,788.35","30,735,808",13.54
18-May-23,"14,953.40","14,994.11","14,736.50","14,774.81","29,311,652",-168.75
17-May-23,"15,040.59","15,076.81","14,939.92","14,943.56","26,682,226",-82.25
16-May-23,"14,958.42","15,053.58","14,953.86","15,025.81","47,467,540",119.15
15-May-23,"14,832.79","14,916.68","14,733.38","14,906.66","26,418,496",64.71
12-May-23,"14,865.00","14,922.59","14,805.19","14,841.95","28,694,746",65.69
11-May-23,"14,776.26","14,912.76","14,732.57","14,776.26","23,134,344",43.69
11-May-23,"27,232.31","27,390.26","27,185.62","27,303.45","96,804,680","12,527.19"
10-May-23,"14,823.90","14,939.00","14,708.67","14,732.57","32,409,940",-206.43
09-May-23,"15,114.94","15,115.42","14,896.43","14,939.00","57,224,688",-175.81
08-May-23,"15,307.76","15,407.93","15,084.87","15,114.81","64,425,468",-293.12
05-May-23,"15,351.32","15,422.22","15,294.25","15,407.93","55,209,628",48.78
